Title,Title Link,Author,Journal,Year,Citation Count,Snippet,Abstract
"The role of subsurface oxygen in the silver-catalyzed, oxidative coupling of methane",https://www.sciencedirect.com/science/article/pii/S0021951799926519,"AJ Nagy, G Mestl, R Schlögl - Journal of Catalysis, 1999 - Elsevier","AJ Nagy, G Mestl, R Schlögl - Journal of Catalysis, 1999",Elsevier,Save Cite Cited by 133 Related articles All 12 versions,"… The silver-catalyzed, oxidative coupling of methane to C2 hy… It is found that the activation 
energy for methane coupling … kinetics of the oxidative coupling of methane to C2 hydrocarbons …","… The silver-catalyzed, oxidative coupling of methane to C2 hy… It is found that the activation 
energy for methane coupling … kinetics of the oxidative coupling of methane to C2 hydrocarbons …"
High-temperature parallel screening of catalysts for the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S0920586108000734,"L Olivier, S Haag, H Pennemann, C Hofmann… - Catalysis today, 2008 - Elsevier","L Olivier, S Haag, H Pennemann, C Hofmann… - Catalysis today, 2008",Elsevier,Save Cite Cited by 66 Related articles All 5 versions,"The oxidative coupling of methane (OCM) was investigated with a specifically designed 
multi-channel device operating fixed-bed reactors at high temperature and atmospheric pressure…","The oxidative coupling of methane (OCM) was investigated with a specifically designed 
multi-channel device operating fixed-bed reactors at high temperature and atmospheric pressure…"
Oxidative coupling of methane: influence of the phase composition of silica-based catalysts,https://www.sciencedirect.com/science/article/pii/S0926860X11003693,"AG Dedov, GD Nipan, AS Loktev, AA Tyunyaev… - Applied Catalysis A …, 2011 - Elsevier","AG Dedov, GD Nipan, AS Loktev, AA Tyunyaev… - Applied Catalysis A …, 2011",Elsevier,Save Cite Cited by 75 Related articles All 8 versions,"… High activities of Na (K)–W–Mn/SiO 2 catalysts in methane transformation into dimerization 
… These new materials are efficient catalysts of the methane oxidative coupling into C 2+ …","… High activities of Na (K)–W–Mn/SiO 2 catalysts in methane transformation into dimerization 
… These new materials are efficient catalysts of the methane oxidative coupling into C 2+ …"
Catalyst and reactor requirements for the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/092058619280071T,"FM Dautzenberg, JC Schlatter, JM Fox… - Catalysis today, 1992 - Elsevier","FM Dautzenberg, JC Schlatter, JM Fox… - Catalysis today, 1992",Elsevier,Save Cite Cited by 51 Related articles All 4 versions,"… SUMMARY Oxidative coupling is not yet competitive for converting methane to liquid fuels. 
The … The methane coupling reactor system, which must operate at high temperature, is the …","… SUMMARY Oxidative coupling is not yet competitive for converting methane to liquid fuels. 
The … The methane coupling reactor system, which must operate at high temperature, is the …"
Stable nickel-containing catalysts for the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S0021951784710505,"KM Dooley, SY Chen, JRH Ross - Journal of catalysis, 1994 - Elsevier","KM Dooley, SY Chen, JRH Ross - Journal of catalysis, 1994",Elsevier,Save Cite Cited by 68 Related articles All 10 versions,"A new catalyst based on the K/Ca/Ni oxide system has been developed for the oxidative 
coupling of methane at <700C. It is capable of up to 70% selectivity to C 2+ hydrocarbons at …","A new catalyst based on the K/Ca/Ni oxide system has been developed for the oxidative 
coupling of methane at <700C. It is capable of up to 70% selectivity to C 2+ hydrocarbons at …"
Fluctuating Storage of the Active Phase in a Mn‐Na2WO4/SiO2 Catalyst for the Oxidative Coupling of Methane,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202004778,"MJ Werny, Y Wang, F Girgsdies… - Angewandte Chemie …, 2020 - Wiley Online Library","MJ Werny, Y Wang, F Girgsdies… - Angewandte Chemie …, 2020",Wiley Online Library,Save Cite Cited by 56 Related articles All 12 versions,"Structural dynamics of a Mn‐Na 2 WO 4 /SiO 2 catalyst were detected directly under reaction 
conditions during the oxidative coupling of methane via in situ XRD and operando Raman …","Structural dynamics of a Mn‐Na 2 WO 4 /SiO 2 catalyst were detected directly under reaction 
conditions during the oxidative coupling of methane via in situ XRD and operando Raman …"
Site Requirements for the Oxidative Coupling of Methane on SiO2-Supported Mn Catalysts,https://pubs.acs.org/doi/abs/10.1021/ie060269c,"S Hou, Y Cao, W Xiong, H Liu… - Industrial & engineering …, 2006 - ACS Publications","S Hou, Y Cao, W Xiong, H Liu… - Industrial & engineering …, 2006",ACS Publications,Save Cite Cited by 85 Related articles All 5 versions,"… Some examples include selective oxidation of methane to methanol and formaldehyde, 
oxidative coupling of methane to ethylene and ethane, and aromatization of methane to …","… Some examples include selective oxidation of methane to methanol and formaldehyde, 
oxidative coupling of methane to ethylene and ethane, and aromatization of methane to …"
Reaction chemistry of W-Mn/SiO2 catalyst for the oxidative coupling of methane,https://www.jenergychem.com/CN/abstract/abstract23495.shtml,"S Li - 能源化学 (英文版), 2003 - jenergychem.com","S Li - 能源化学 (英文版), 2003",jenergychem.com,Save Cite Cited by 80 Related articles  Cached,": Abstract: Reaction chemistry of the OCM reaction on W-Mn/SiO2 catalyst has been reviewed 
in this account. Initial activity and selectivity, stability in a long-term reaction, reaction at …",": Abstract: Reaction chemistry of the OCM reaction on W-Mn/SiO2 catalyst has been reviewed 
in this account. Initial activity and selectivity, stability in a long-term reaction, reaction at …"
On the oxidative coupling of methane with carbon dioxide over CeO2/ZnO nanocatalysts,https://www.sciencedirect.com/science/article/pii/S0920586104005802,"Y He, B Yang, G Cheng - Catalysis today, 2004 - Elsevier","Y He, B Yang, G Cheng - Catalysis today, 2004",Elsevier,Save Cite Cited by 104 Related articles All 7 versions,"… with micro-emulsion for oxidative coupling of methane with CO 2 as … The experimental 
investigation demonstrated that methane … catalytic performance but methane conversion increased …","… with micro-emulsion for oxidative coupling of methane with CO 2 as … The experimental 
investigation demonstrated that methane … catalytic performance but methane conversion increased …"
Perovskite‐type oxide membranes for the oxidative coupling of methane,https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/aic.690431319,"SJ Xu, WJ Thomson - AIChE journal, 1997 - Wiley Online Library","SJ Xu, WJ Thomson - AIChE journal, 1997",Wiley Online Library,Save Cite Cited by 138 Related articles All 5 versions,"… The catalytic oxidative coupling of methane (OCM) can occur over a wide variety of 
catalysts, including alkali-metalpromoted alkaline-earth-oxide catalysts such as Li-, Na-, and K-…","… The catalytic oxidative coupling of methane (OCM) can occur over a wide variety of 
catalysts, including alkali-metalpromoted alkaline-earth-oxide catalysts such as Li-, Na-, and K-…"
